time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010450950000	11.4824	21.0218	4.87523	3.17286	0.593727	radar	0	11.5265	20.6748	11.5418	21.1283	-4.86971	0.165281
1477010451000000	11.2649	21.0153	4.83873	3.2006	0.593271	lidar	0	11.363	21.0688	11.2982	21.1335	-4.87623	0.0441057
1477010451050000	11.0127	20.9761	4.84819	3.23779	0.59458	radar	0	10.5558	20.5567	11.0544	21.1327	-4.87982	-0.076565
1477010451100000	10.8017	20.9378	4.80119	3.27443	0.60887	lidar	0	10.8903	20.927	10.8105	21.1259	-4.88053	-0.196643
1477010451150000	10.5451	20.9444	4.81428	3.23956	0.359708	radar	0	9.30535	21.3896	10.5666	21.1131	-4.8784	-0.31604
1477010451200000	10.2595	20.9857	4.89651	3.2207	0.293985	lidar	0	10.189	21.209	10.3229	21.0943	-4.87349	-0.434674
1477010451250000	10.0198	20.9622	4.89813	3.25553	0.386607	radar	0	9.97958	21.2932	10.0795	21.0697	-4.86585	-0.552463
1477010451300000	9.82763	20.9284	4.82176	3.27993	0.395876	lidar	0	9.99634	20.9797	9.83658	21.0391	-4.85554	-0.669327
1477010451350000	9.58496	20.9222	4.81963	3.25843	0.243455	radar	0	9.38223	21.111	9.59422	21.0028	-4.84262	-0.785189
1477010451400000	9.39458	20.8779	4.74528	3.2814	0.261155	lidar	0	9.53921	20.8762	9.35258	20.9607	-4.82714	-0.899977
1477010451450000	9.17227	20.8305	4.73814	3.3305	0.411991	radar	0	9.63392	20.9724	9.11177	20.9128	-4.80919	-1.01362
1477010451500000	8.87945	20.8053	4.8315	3.33551	0.386781	lidar	0	8.70331	20.8221	8.87192	20.8594	-4.78881	-1.12605
1477010451550000	8.66462	20.7214	4.80759	3.3947	0.516009	radar	0	9.84634	20.009	8.63315	20.8003	-4.76608	-1.2372
1477010451600000	8.3904	20.6372	4.8723	3.42584	0.522044	lidar	0	8.22277	20.4839	8.39557	20.7358	-4.74108	-1.34701
1477010451650000	8.1617	20.5559	4.87317	3.4681	0.582242	radar	0	8.29647	20.4978	8.1593	20.6657	-4.71387	-1.45542
1477010451700000	7.92203	20.4728	4.88909	3.4965	0.580124	lidar	0	7.88599	20.45	7.92445	20.5903	-4.68453	-1.56237
1477010451750000	7.70963	20.385	4.87942	3.54836	0.683396	radar	0	8.29081	20.6565	7.69111	20.5096	-4.65313	-1.66781
1477010451800000	7.39919	20.3254	5.00462	3.54477	0.611356	lidar	0	7.18029	20.392	7.45939	20.4237	-4.61975	-1.7717
1477010451850000	7.16558	20.2312	5.00209	3.55642	0.534965	radar	0	7.09214	20.1196	7.22939	20.3326	-4.58448	-1.87399
1477010451900000	6.90106	20.1472	5.05272	3.56509	0.501553	lidar	0	6.81542	20.1859	7.00119	20.2364	-4.54738	-1.97462
1477010451950000	6.6725	20.0576	5.04127	3.57048	0.433113	radar	0	6.89359	20.1536	6.7749	20.1352	-4.50854	-2.07357
1477010452000000	6.4252	19.9665	5.0655	3.57994	0.412138	lidar	0	6.38914	20.0137	6.55059	20.0292	-4.46805	-2.17079
1477010452050000	6.20754	19.8724	5.0486	3.59954	0.423743	radar	0	6.67637	20.2142	6.32834	19.9183	-4.42598	-2.26625
1477010452100000	5.94408	19.7803	5.09755	3.60138	0.391392	lidar	0	5.86119	19.8306	6.10823	19.8027	-4.38241	-2.35993
1477010452150000	5.72133	19.63	5.12217	3.66892	0.566404	radar	0	5.28178	19.5036	5.89034	19.6824	-4.33744	-2.45178
1477010452200000	5.55073	19.5008	5.05172	3.70871	0.586724	lidar	0	5.69089	19.5755	5.67472	19.5577	-4.29114	-2.5418
1477010452250000	5.35369	19.3514	5.03447	3.74349	0.585171	radar	0	5.9506	18.9859	5.46145	19.4284	-4.24359	-2.62995
1477010452300000	5.13982	19.2477	5.02822	3.75155	0.549471	lidar	0	5.17021	19.4397	5.25059	19.2948	-4.19488	-2.71622
1477010452350000	4.94273	19.1398	4.97631	3.73276	0.37724	radar	0	5.87397	19.301	5.04219	19.157	-4.1451	-2.80059
1477010452400000	4.78509	18.9863	4.91824	3.77374	0.41925	lidar	0	4.89149	18.982	4.8363	19.015	-4.09432	-2.88305
1477010452450000	4.58138	18.8341	4.94391	3.81102	0.495858	radar	0	3.98679	19.0452	4.63297	18.8689	-4.04263	-2.96359
1477010452500000	4.4036	18.7017	4.91262	3.83065	0.488351	lidar	0	4.4685	18.834	4.43224	18.7188	-3.99012	-3.0422
1477010452550000	4.21576	18.5628	4.88101	3.82093	0.354592	radar	0	4.69245	18.4634	4.23416	18.5648	-3.93685	-3.11888
1477010452600000	4.09649	18.4056	4.79228	3.86706	0.409192	lidar	0	4.26269	18.481	4.03876	18.4071	-3.88293	-3.19362
1477010452650000	3.93297	18.2245	4.83648	3.95823	0.695124	radar	0	3.42434	18.8357	3.84606	18.2457	-3.82841	-3.26644
1477010452700000	3.662	18.0881	4.94613	3.92754	0.571667	lidar	0	3.45919	18.167	3.65611	18.0807	-3.77339	-3.33732
1477010452750000	3.49228	17.9414	4.88986	3.90993	0.393685	radar	0	4.3011	17.9267	3.46891	17.9122	-3.71795	-3.40627
1477010452800000	3.25566	17.7801	4.96065	3.89659	0.330247	lidar	0	3.12525	17.7493	3.28449	17.7402	-3.66215	-3.47331
